Obs,Sales,Prom,Adv.,Index
1,504.72,15.6,30,100
2,406.59,22.2,36,102
3,398.55,0,45,104
4,587.76,0,57,104
5,598.92,0,39,104
6,703.62,31.8,21,100
7,387.24,21.3,12,98
8,365.67,3.9,6,96
9,388.71,0,6,98
10,372.96,8.4,30,103
11,603.3,45.3,30,105
12,614.73,50.1,33,107
13,484.38,39.6,6,107
14,227.76,4.2,33,107
15,329.13,0,6,108
16,308.25,0,3,105
17,433.86,0,45,103
18,514.98,13.8,48,108
19,404.7,17.7,0,110
20,245.43,0,15,112
21,433.2,17.4,9,113
22,627.24,37.8,54,112
23,647.61,42.3,36,113
24,342.81,11.4,39,114
